id,code,name
1,ru,Russian
2,en,English
3,de,German
4,uk,Ukrainian
5,be,Belarusian
6,ab,Abkhazian
7,aa,Afar
8,af,Afrikaans
9,ak,Akan
10,sq,Albanian
11,am,Amharic
12,ar,Arabic
13,an,Aragonese
14,hy,Armenian
15,as,Assamese
16,av,Avaric
17,ae,Avestan
18,ay,Aymara
19,az,Azerbaijani
20,bm,Bambara
21,ba,Bashkir
22,eu,Basque
23,bn,Bengali
24,bh,Bihari languages
25,bi,Bislama
26,bs,Bosnian
27,br,Breton
28,bg,Bulgarian
29,my,Burmese
30,ca,Catalan
31,km,Central Khmer
32,ch,Chamorro
33,ce,Chechen
34,zh,Chinese
35,za,Chuang
36,cu,Church
37,cv,Chuvash
38,kw,Cornish
39,co,Corsican
40,cr,Cree
41,hr,Croatian
42,cs,Czech
43,da,Danish
44,nl,Dutch
45,dz,Dzongkha
46,eo,Esperanto
47,et,Estonian
48,ee,Ewe
49,fo,Faroese
50,fj,Fijian
51,fi,Finnish
52,fr,French
53,ff,Fulah
54,gd,Gaelic
55,gl,Galician
56,lg,Ganda
57,ka,Georgian
58,el,Greek Modern
59,kl,Greenlandic
60,gn,Guarani
61,gu,Gujarati
62,ht,Haitian
63,ha,Hausa
64,he,Hebrew
65,hz,Herero
66,hi,Hindi
67,ho,Hiri Motu
68,hu,Hungarian
69,is,Icelandic
70,io,Ido
71,ig,Igbo
72,id,Indonesian
73,ia,Interlingua
74,ie,Interlingue
75,iu,Inuktitut
76,ik,Inupiaq
77,ga,Irish
78,it,Italian
79,ja,Japanese
80,jv,Javanese
81,kn,Kannada
82,kr,Kanuri
83,ks,Kashmiri
84,kk,Kazakh
85,ki,Kikuyu
86,rw,Kinyarwanda
87,ky,Kirghiz
88,kv,Komi
89,kg,Kongo
90,ko,Korean
91,kj,Kuanyama
92,ku,Kurdish
93,lo,Lao
94,la,Latin
95,lv,Latvian
96,li,Limburgish
97,ln,Lingala
98,lt,Lithuanian
99,lu,Luba-Katanga
100,lb,Luxembourgish
101,mk,Macedonian
102,mg,Malagasy
103,ms,Malay
104,ml,Malayalam
105,dv,Maldivian
106,mt,Maltese
107,gv,Manx
108,mi,Maori
109,mr,Marathi
110,mh,Marshallese
111,mn,Mongolian
112,na,Nauru
113,nv,Navaho
114,nv,Navajo
115,nd,Ndebele North
116,nr,Ndebele South
117,ng,Ndonga
118,ne,Nepali
119,nd,North Ndebele
120,se,Northern Sami
121,no,Norwegian
122,nn,Norwegian Nynorsk
123,ii,Nuosu
124,ny,Nyanja
125,oc,Occitan (post 1500)
126,oj,Ojibwa
127,or,Oriya
128,om,Oromo
129,os,Ossetian
130,os,Ossetic
131,pi,Pali
132,pa,Panjabi
133,ps,Pashto
134,fa,Persian
135,pl,Polish
136,pt,Portuguese
137,pa,Punjabi
138,ps,Pushto
139,qu,Quechua
140,ro,Romanian
141,rm,Romansh
142,rn,Rundi
143,sm,Samoan
144,sg,Sango
145,sa,Sanskrit
146,sc,Sardinian
147,sr,Serbian
148,sn,Shona
149,sd,Sindhi
150,si,Sinhala
151,sk,Slovak
152,sl,Slovenian
153,so,Somali
154,st,Sotho
155,es,Spanish
156,su,Sundanese
157,sw,Swahili
158,ss,Swati
159,sv,Swedish
160,tl,Tagalog
161,ty,Tahitian
162,tg,Tajik
163,ta,Tamil
164,tt,Tatar
165,te,Telugu
166,th,Thai
167,bo,Tibetan
168,ti,Tigrinya
169,to,Tonga (Tonga Islands)
170,ts,Tsonga
171,tn,Tswana
172,tr,Turkish
173,tk,Turkmen
174,tw,Twi
175,ug,Uighur
176,ur,Urdu
177,uz,Uzbek
178,ve,Venda
179,vi,Vietnamese
180,wa,Walloon
181,cy,Welsh
182,fy,Western Frisian
183,wo,Wolof
184,xh,Xhosa
185,yi,Yiddish
186,yo,Yoruba
187,zu,Zul
